"id","fqdn/ip","port","severity","finding","cve","cwe"
"DROWN","www.timesrecordnews.com/151.101.66.62","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=1CC11A62F1F7C24EDC28D9F25137FBE4AE17D22495E2BAC2B54FB922A67F3D99","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","www.timesrecordnews.com/151.101.66.62","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","www.timesrecordnews.com/151.101.66.62","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","www.timesrecordnews.com/151.101.66.62","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","www.timesrecordnews.com/151.101.66.62","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"RC4","www.timesrecordnews.com/151.101.66.62","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"service","www.timesrecordnews.com/151.101.2.62","443","INFO","HTTP","",""
"pre_128cipher","www.timesrecordnews.com/151.101.2.62","443","INFO","No 128 cipher limit bug","",""
"heartbleed","www.timesrecordnews.com/151.101.2.62","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","www.timesrecordnews.com/151.101.2.62","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","www.timesrecordnews.com/151.101.2.62","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","www.timesrecordnews.com/151.101.2.62","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","www.timesrecordnews.com/151.101.2.62","443","OK","not vulnerable","CVE-2009-3555","CWE-310"
"secure_client_renego","www.timesrecordnews.com/151.101.2.62","443","OK","not vulnerable","CVE-2009-3555","CWE-310"
"CRIME_TLS","www.timesrecordnews.com/151.101.2.62","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","www.timesrecordnews.com/151.101.2.62","443","HIGH","potentially VULNERABLE, uses gzip HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","www.timesrecordnews.com/151.101.2.62","443","OK","not vulnerable","CVE-2014-3566","CWE-310"
"fallback_SCSV","www.timesrecordnews.com/151.101.2.62","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","www.timesrecordnews.com/151.101.2.62","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","www.timesrecordnews.com/151.101.2.62","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","www.timesrecordnews.com/151.101.2.62","443","OK","not vulnerable to DROWN on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN","www.timesrecordnews.com/151.101.2.62","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=1CC11A62F1F7C24EDC28D9F25137FBE4AE17D22495E2BAC2B54FB922A67F3D99","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","www.timesrecordnews.com/151.101.2.62","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","www.timesrecordnews.com/151.101.2.62","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","www.timesrecordnews.com/151.101.2.62","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","www.timesrecordnews.com/151.101.2.62","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"RC4","www.timesrecordnews.com/151.101.2.62","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"service","www.timesrecordnews.com/151.101.130.62","443","INFO","HTTP","",""
"pre_128cipher","www.timesrecordnews.com/151.101.130.62","443","INFO","No 128 cipher limit bug","",""
"heartbleed","www.timesrecordnews.com/151.101.130.62","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
